variable	label
playerID	Player ID code
yearID	Year
stint	Player's stint
teamID	Team
lgID	League
W	Wins
L	Losses
G	Games
GS	Games Started
CG	Complete Games 
SHO	Shutouts
SV	Saves
IPOuts	Outs Pitched
H	Hits
ER	Earned Runs
HR	Homeruns
BB	Walks
SO	Strikeouts
BAOpp	Opponent's Batting Average
ERA	Earned Run Average
IBB	Intentional Walks
WP	Wild Pitches
HBP	Batters Hit By Pitch
BK	Balks
BFP	Batters faced by Pitcher
GF	Games Finished
R	Runs Allowed
SH	Sacrifices by opposing batters
SF	Sacrifice flies by opposing batters
GIDP	Grounded into double plays by opposing batter